Package,LibPath,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,MD5sum,NeedsCompilation,Built
CNEr,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.38.0,NA,R (>= 3.5.0),"Biostrings (>= 2.33.4), DBI (>= 0.7), RSQLite (>= 0.11.4),
GenomeInfoDb (>= 1.1.3), GenomicRanges (>= 1.23.16),
rtracklayer (>= 1.25.5), XVector (>= 0.5.4), GenomicAlignments
(>= 1.1.9), methods, S4Vectors (>= 0.13.13), IRanges (>=
2.5.27), readr (>= 0.2.2), BiocGenerics, tools, parallel,
reshape2 (>= 1.4.1), ggplot2 (>= 2.1.0), poweRlaw (>= 0.60.3),
annotate (>= 1.50.0), GO.db (>= 3.3.0), R.utils (>= 2.3.0),
KEGGREST (>= 1.14.0)","S4Vectors, IRanges, XVector","Gviz (>= 1.7.4), BiocStyle, knitr, rmarkdown, testthat,
BSgenome.Drerio.UCSC.danRer10, BSgenome.Hsapiens.UCSC.hg38,
TxDb.Drerio.UCSC.danRer10.refGene, BSgenome.Hsapiens.UCSC.hg19,
BSgenome.Ggallus.UCSC.galGal3",NA,GPL-2 | file LICENSE,NA,yes,NA,NA,yes,4.3.2
codetools,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.2-20,recommended,R (>= 2.1),NA,NA,NA,NA,GPL,NA,NA,NA,NA,no,4.3.3
colorRamps,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.3.4,NA,NA,NA,NA,NA,NA,GPL,NA,NA,NA,NA,no,4.3.3
colorspace,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.1-1,NA,"R (>= 3.0.0), methods","graphics, grDevices, stats",NA,"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson",NA,BSD_3_clause + file LICENSE,NA,NA,NA,NA,yes,4.3.3
combinat,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.0-8,NA,NA,NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,NA,4.3.3
commonmark,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.9.5,NA,NA,NA,NA,"curl, testthat, xml2",NA,BSD_2_clause + file LICENSE,NA,NA,NA,NA,yes,4.3.3
compiler,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,4.3.3,base,NA,NA,NA,NA,NA,Part of R 4.3.3,NA,NA,NA,NA,NA,4.3.3
ComplexHeatmap,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.18.0,NA,"R (>= 3.5.0), methods, grid, graphics, stats, grDevices","circlize (>= 0.4.14), GetoptLong, colorspace, clue,
RColorBrewer, GlobalOptions (>= 0.1.0), png, digest, IRanges,
matrixStats, foreach, doParallel, codetools",NA,"testthat (>= 1.0.0), knitr, markdown, dendsort, jpeg, tiff,
fastcluster, EnrichedHeatmap, dendextend (>= 1.0.1), grImport,
grImport2, glue, GenomicRanges, gridtext, pheatmap (>= 1.0.12),
gridGraphics, gplots, rmarkdown, Cairo, magick",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
conflicted,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.2.0,NA,R (>= 3.2),"cli (>= 3.4.0), memoise, rlang (>= 1.0.0)",NA,"callr, covr, dplyr, Matrix, methods, pkgload, testthat (>=
3.0.0), withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
ConsensusClusterPlus,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.66.0,NA,NA,"Biobase, ALL, graphics, stats, utils, cluster",NA,NA,NA,GPL version 2,NA,NA,NA,NA,no,4.3.3
corpcor,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.6.10,NA,R (>= 3.0.2),stats,NA,,NA,GPL (>= 3),NA,NA,NA,NA,no,4.3.3
corrplot,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.95,NA,NA,NA,NA,"seriation, knitr, RColorBrewer, rmarkdown, magrittr,
prettydoc, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
cowplot,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.1.3,NA,R (>= 3.5.0),"ggplot2 (>= 3.4.0), grid, gtable, grDevices, methods, rlang,
scales",NA,"Cairo, covr, dplyr, forcats, gridGraphics (>= 0.4-0), knitr,
lattice, magick, maps, PASWR, patchwork, rmarkdown, ragg,
testthat (>= 1.0.0), tidyr, vdiffr (>= 0.3.0), VennDiagram",NA,GPL-2,NA,NA,NA,NA,no,4.3.3
cpp11,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.5.2,NA,R (>= 4.0.0),NA,NA,"bench, brio, callr, cli, covr, decor, desc, ggplot2, glue,
knitr, lobstr, mockery, progress, rmarkdown, scales, Rcpp,
testthat (>= 3.2.0), tibble, utils, vctrs, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
crayon,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.5.3,NA,NA,"grDevices, methods, utils",NA,"mockery, rstudioapi, testthat, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
credentials,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.0.2,NA,NA,"openssl (>= 1.3), sys (>= 2.1), curl, jsonlite, askpass",NA,"testthat, knitr, rmarkdown",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
crosstalk,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.2.1,NA,NA,"htmltools (>= 0.3.6), jsonlite, lazyeval, R6",NA,"shiny, ggplot2, testthat (>= 2.1.0), sass, bslib",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
curl,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,6.2.2,NA,R (>= 3.0.0),NA,NA,"spelling, testthat (>= 1.0.0), knitr, jsonlite, later,
rmarkdown, httpuv (>= 1.4.4), webutils",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.3.3
data.table,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.17.0,NA,R (>= 3.3.0),methods,NA,"bit64 (>= 4.0.0), bit (>= 4.0.4), R.utils, xts, zoo (>=
1.8-1), yaml, knitr, markdown",NA,MPL-2.0 | file LICENSE,NA,NA,NA,NA,yes,4.3.3
datasets,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,4.3.3,base,NA,NA,NA,NA,NA,Part of R 4.3.3,NA,NA,NA,NA,NA,4.3.3
datawizard,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.0.2,NA,R (>= 4.0),"insight (>= 1.0.2), stats, utils",NA,"bayestestR, boot, brms, curl, data.table, dplyr (>= 1.1),
effectsize, emmeans, gamm4, ggplot2 (>= 3.5.0), gt, haven,
httr, knitr, lme4, mediation, modelbased, parameters (>=
0.21.7), poorman (>= 0.2.7), psych, readxl, readr, rio,
rmarkdown, rstanarm, see, testthat (>= 3.2.1), tibble, tidyr,
withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
DBI,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.2.3,NA,"methods, R (>= 3.0.0)",NA,NA,"arrow, blob, covr, DBItest, dbplyr, downlit, dplyr, glue,
hms, knitr, magrittr, nanoarrow (>= 0.3.0.1), RMariaDB,
rmarkdown, rprojroot, RSQLite (>= 1.1-2), testthat (>= 3.0.0),
vctrs, xml2",NA,LGPL (>= 2.1),NA,NA,NA,NA,no,4.3.3
dbplyr,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.5.0,NA,R (>= 3.6),"blob (>= 1.2.0), cli (>= 3.6.1), DBI (>= 1.1.3), dplyr (>=
1.1.2), glue (>= 1.6.2), lifecycle (>= 1.0.3), magrittr,
methods, pillar (>= 1.9.0), purrr (>= 1.0.1), R6 (>= 2.2.2),
rlang (>= 1.1.1), tibble (>= 3.2.1), tidyr (>= 1.3.0),
tidyselect (>= 1.2.1), utils, vctrs (>= 0.6.3), withr (>=
2.5.0)",NA,"bit64, covr, knitr, Lahman, nycflights13, odbc (>= 1.4.2),
RMariaDB (>= 1.2.2), rmarkdown, RPostgres (>= 1.4.5),
RPostgreSQL, RSQLite (>= 2.3.1), testthat (>= 3.1.10)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
dbscan,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.2.2,NA,R (>= 3.2.0),"generics, graphics, Rcpp (>= 1.0.0), stats",Rcpp,"dendextend, fpc, igraph, knitr, microbenchmark, rmarkdown,
testthat (>= 3.0.0), tibble",NA,GPL (>= 2),NA,NA,NA,NA,yes,4.3.3
decontX,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.0.0,NA,R (>= 4.3.0),"celda, dbscan, DelayedArray, ggplot2, Matrix (>= 1.5.3),
MCMCprecision, methods, patchwork, plyr, Rcpp (>= 0.12.0),
RcppParallel (>= 5.0.1), reshape2, rstan (>= 2.18.1),
rstantools (>= 2.2.0), S4Vectors, scater, Seurat,
SingleCellExperiment, SummarizedExperiment, withr","BH (>= 1.66.0), Rcpp (>= 0.12.0), RcppEigen (>= 0.3.3.3.0),
RcppParallel (>= 5.0.1), rstan (>= 2.18.1), StanHeaders (>=
2.18.0)","BiocStyle, dplyr, knitr, rmarkdown, scran,
SingleCellMultiModal, TENxPBMCData, testthat (>= 3.0.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.3.3
DEGreport,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.38.5,NA,R (>= 4.0.0),"utils, methods, Biobase, BiocGenerics, broom, circlize,
ComplexHeatmap, cowplot, ConsensusClusterPlus, cluster,
dendextend, DESeq2, dplyr, edgeR, ggplot2, ggdendro, grid,
ggrepel, grDevices, knitr, logging, magrittr, psych,
RColorBrewer, reshape, rlang, scales, stats, stringr, stringi,
S4Vectors, SummarizedExperiment, tidyr, tibble",NA,"BiocStyle, AnnotationDbi, limma, pheatmap, rmarkdown,
statmod, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
DelayedArray,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.28.0,NA,"R (>= 4.0.0), methods, stats4, Matrix, BiocGenerics (>=
0.43.4), MatrixGenerics (>= 1.1.3), S4Vectors (>= 0.27.2),
IRanges (>= 2.17.3), S4Arrays (>= 1.1.1), SparseArray (>=
1.1.10)",stats,S4Vectors,"BiocParallel, HDF5Array (>= 1.17.12), genefilter,
SummarizedExperiment, airway, lobstr, DelayedMatrixStats,
knitr, rmarkdown, BiocStyle, RUnit",NA,Artistic-2.0,NA,NA,NA,NA,yes,4.3.2
DelayedMatrixStats,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.24.0,NA,"MatrixGenerics (>= 1.13.1), DelayedArray (>= 0.27.10)","methods, sparseMatrixStats (>= 1.13.2), Matrix (>= 1.5-0),
S4Vectors (>= 0.17.5), IRanges (>= 2.25.10)",NA,"testthat, knitr, rmarkdown, BiocStyle, microbenchmark,
profmem, HDF5Array, matrixStats (>= 1.0.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.2
deldir,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.0-4,NA,R (>= 3.5.0),"graphics, grDevices",NA,polyclip,NA,GPL (>= 2),NA,NA,NA,NA,yes,4.3.3
dendextend,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.19.0,NA,R (>= 3.0.0),"utils, stats, datasets, magrittr (>= 1.0.1), ggplot2, viridis",NA,"knitr, rmarkdown, testthat, seriation, colorspace, ape,
microbenchmark, gplots, heatmaply, dynamicTreeCut, pvclust,
corrplot, DendSer, MASS, cluster, fpc, circlize (>= 0.2.5),
covr","ggdendro, dendroextras, Hmisc, data.table, rpart, WGCNA,
moduleColor, distory, phangorn, zoo",GPL-2 | GPL-3,NA,NA,NA,NA,no,4.3.3
DEoptimR,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.1-3-1,NA,NA,stats,NA,NA,robustbase,GPL (>= 2),NA,NA,NA,NA,no,4.3.3
Deriv,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,4.1.6,NA,NA,methods,NA,testthat (>= 0.11.0),NA,GPL (>= 3),NA,NA,NA,NA,no,4.3.3
desc,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.4.3,NA,R (>= 3.4),"cli, R6, utils",NA,"callr, covr, gh, spelling, testthat, whoami, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
DESeq2,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.42.1,NA,"S4Vectors (>= 0.23.18), IRanges, GenomicRanges,
SummarizedExperiment (>= 1.1.6)","BiocGenerics (>= 0.7.5), Biobase, BiocParallel, matrixStats,
methods, stats4, locfit, ggplot2 (>= 3.4.0), Rcpp (>= 0.11.0),
MatrixGenerics","Rcpp, RcppArmadillo","testthat, knitr, rmarkdown, vsn, pheatmap, RColorBrewer,
apeglm, ashr, tximport, tximeta, tximportData, readr, pbapply,
airway, pasilla (>= 0.2.10), glmGamPoi, BiocManager",NA,LGPL (>= 3),NA,NA,NA,NA,yes,4.3.3
destiny,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,3.16.0,NA,R (>= 3.4.0),"methods, graphics, grDevices, grid, utils, stats, Matrix, Rcpp
(>= 0.10.3), RcppEigen, RSpectra (>= 0.14-0), irlba,
pcaMethods, Biobase, BiocGenerics, SummarizedExperiment,
SingleCellExperiment, ggplot2, ggplot.multistats, tidyr,
tidyselect, ggthemes, VIM, knn.covertree, proxy, RcppHNSW,
smoother, scales, scatterplot3d","Rcpp, RcppEigen, grDevices","knitr, rmarkdown, igraph, testthat, FNN, tidyverse,
gridExtra, cowplot, conflicted, viridis, rgl, scRNAseq,
org.Mm.eg.db, scran, repr","rgl, SingleCellExperiment",GPL-3,NA,NA,NA,NA,yes,4.3.3
devtools,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.4.5,NA,"R (>= 3.0.2), usethis (>= 2.1.6)","cli (>= 3.3.0), desc (>= 1.4.1), ellipsis (>= 0.3.2), fs (>=
1.5.2), lifecycle (>= 1.0.1), memoise (>= 2.0.1), miniUI (>=
0.1.1.1), pkgbuild (>= 1.3.1), pkgdown (>= 2.0.6), pkgload (>=
1.3.0), profvis (>= 0.3.7), rcmdcheck (>= 1.4.0), remotes (>=
2.4.2), rlang (>= 1.0.4), roxygen2 (>= 7.2.1), rversions (>=
2.1.1), sessioninfo (>= 1.2.2), stats, testthat (>= 3.1.5),
tools, urlchecker (>= 1.0.1), utils, withr (>= 2.5.0)",NA,"BiocManager (>= 1.30.18), callr (>= 3.7.1), covr (>= 3.5.1),
curl (>= 4.3.2), digest (>= 0.6.29), DT (>= 0.23), foghorn (>=
1.4.2), gh (>= 1.3.0), gmailr (>= 1.0.1), httr (>= 1.4.3),
knitr (>= 1.39), lintr (>= 3.0.0), MASS, mockery (>= 0.4.3),
pingr (>= 2.0.1), rhub (>= 1.1.1), rmarkdown (>= 2.14),
rstudioapi (>= 0.13), spelling (>= 2.2)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
DGCA,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.0.3,NA,R (>= 3.2),"WGCNA, matrixStats, methods",NA,"knitr, impute, gplots, fdrtool, testthat, ggplot2, plotrix,
GOstats, HGNChelper, org.Hs.eg.db, AnnotationDbi, abind,
MEGENA, Matrix, doMC, igraph, cowplot, stats, utils",NA,GPL-3,NA,NA,NA,NA,no,4.3.3
dichromat,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.0-0.1,NA,"R (>= 2.10), stats",NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,no,4.3.3
diffobj,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.3.6,NA,R (>= 3.1.0),"crayon (>= 1.3.2), tools, methods, utils, stats",NA,"knitr, rmarkdown",NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,4.3.3
digest,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.6.37,NA,R (>= 3.3.0),utils,NA,"tinytest, simplermarkdown",NA,GPL (>= 2),NA,NA,NA,NA,yes,4.3.3
diptest,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.77-1,NA,NA,"graphics, stats",NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,4.3.3
DirichletMultinomial,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.44.0,NA,"S4Vectors, IRanges","stats4, methods, BiocGenerics",NA,"lattice, parallel, MASS, RColorBrewer, xtable",NA,LGPL-3,NA,NA,NA,NA,yes,4.3.2
distributional,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.5.0,NA,NA,"vctrs (>= 0.3.0), rlang (>= 0.4.5), generics, stats, numDeriv,
utils, lifecycle, pillar",NA,"testthat (>= 2.1.0), covr, mvtnorm, actuar (>= 2.0.0), evd,
ggdist, ggplot2, gk",NA,GPL-3,NA,NA,NA,NA,no,4.3.3
doBy,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,4.6.26,NA,"R (>= 4.2.0), methods","boot, broom, cowplot, Deriv, dplyr, ggplot2, MASS, Matrix,
modelr, microbenchmark, rlang, tibble, tidyr,",NA,"geepack, knitr, lme4, markdown, multcomp, pbkrtest (>=
0.5.2), survival, testthat (>= 2.1.0)",NA,GPL (>= 2),NA,NA,NA,NA,no,4.3.3
docopt,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.7.2,NA,NA,methods,NA,testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
doFuture,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.0.2,NA,"foreach (>= 1.5.0), future (>= 1.32.0)","future.apply, globals, iterators, parallel, utils",NA,"doRNG (>= 1.8.2), markdown, R.rsp",NA,LGPL (>= 2.1),NA,NA,NA,NA,no,4.3.3
doParallel,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.0.17,NA,"R (>= 2.14.0), foreach (>= 1.2.0), iterators (>= 1.0.0),
parallel, utils",NA,NA,"caret, mlbench, rpart, RUnit",compiler,GPL-2,NA,NA,NA,NA,no,4.3.3
doRNG,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.8.6.2,NA,"R (>= 3.0.0), foreach, rngtools (>= 1.5)","stats, utils, iterators",NA,"doParallel, doMPI, doRedis, rbenchmark, devtools, knitr,
rbibutils (>= 1.3), testthat, covr",NA,GPL (>= 2),NA,NA,NA,NA,no,4.3.3
DOSE,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,3.28.2,NA,R (>= 3.5.0),"AnnotationDbi, HDO.db, BiocParallel, fgsea, ggplot2, GOSemSim
(>= 2.27.1), methods, qvalue, reshape2, stats, utils,
yulab.utils",NA,"prettydoc, clusterProfiler, gson (>= 0.0.5), knitr,
rmarkdown, org.Hs.eg.db, MPO.db, HPO.db, testthat",NA,Artistic-2.0,NA,NA,NA,NA,no,4.3.3
doSNOW,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.0.20,NA,"R (>= 2.5.0), foreach(>= 1.2.0), iterators(>= 1.0.0), snow(>=
0.3.0), utils",NA,NA,"compiler, RUnit, caret, mlbench, rpart, parallel",NA,GPL-2,NA,NA,NA,NA,no,4.3.3
dotCall64,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.2,NA,R (>= 4.0),NA,NA,"microbenchmark, RhpcBLASctl, RColorBrewer, roxygen2, spam,
testthat,",NA,GPL (>= 2),NA,NA,NA,NA,yes,4.3.3
downlit,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.4.4,NA,R (>= 4.0.0),"brio, desc, digest, evaluate, fansi, memoise, rlang, vctrs,
withr, yaml",NA,"covr, htmltools, jsonlite, MASS, MassSpecWavelet, pkgload,
rmarkdown, testthat (>= 3.0.0), xml2",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
downloader,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.4.1,NA,NA,"utils, digest",NA,testthat,NA,GPL-2,NA,NA,NA,NA,no,4.3.3
dplyr,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.1.4,NA,R (>= 3.5.0),"cli (>= 3.4.0), generics, glue (>= 1.3.2), lifecycle (>=
1.0.3), magrittr (>= 1.5), methods, pillar (>= 1.9.0), R6,
rlang (>= 1.1.0), tibble (>= 3.2.0), tidyselect (>= 1.2.0),
utils, vctrs (>= 0.6.4)",NA,"bench, broom, callr, covr, DBI, dbplyr (>= 2.2.1), ggplot2,
knitr, Lahman, lobstr, microbenchmark, nycflights13, purrr,
rmarkdown, RMySQL, RPostgreSQL, RSQLite, stringi (>= 1.7.6),
testthat (>= 3.1.5), tidyr (>= 1.3.0), withr",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.3.3
dqrng,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.4.1,NA,R (>= 3.5.0),Rcpp (>= 0.12.16),"Rcpp, BH (>= 1.64.0-1), sitmo (>= 2.0.0)","BH, testthat, knitr, rmarkdown, mvtnorm (>= 1.2-3), bench,
sitmo",NA,AGPL-3,NA,NA,NA,NA,yes,4.3.3
DropletUtils,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.22.0,NA,SingleCellExperiment,"utils, stats, methods, Matrix, Rcpp, BiocGenerics, S4Vectors,
IRanges, GenomicRanges, SummarizedExperiment, BiocParallel,
DelayedArray, DelayedMatrixStats, HDF5Array, rhdf5, edgeR,
R.utils, dqrng, beachmat, scuttle","Rcpp, beachmat, Rhdf5lib, BH, dqrng, scuttle","testthat, knitr, BiocStyle, rmarkdown, jsonlite,
DropletTestFiles",NA,GPL-3,NA,NA,NA,NA,yes,4.3.3
DT,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.33,NA,NA,"htmltools (>= 0.3.6), htmlwidgets (>= 1.3), httpuv, jsonlite
(>= 0.9.16), magrittr, crosstalk, jquerylib, promises",NA,"knitr (>= 1.8), rmarkdown, shiny (>= 1.6), bslib, future,
testit, tibble",NA,GPL-3 | file LICENSE,NA,NA,NA,NA,no,4.3.3
dtplyr,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.3.1,NA,R (>= 3.3),"cli (>= 3.4.0), data.table (>= 1.13.0), dplyr (>= 1.1.0),
glue, lifecycle, rlang (>= 1.0.4), tibble, tidyselect (>=
1.2.0), vctrs (>= 0.4.1)",NA,"bench, covr, knitr, rmarkdown, testthat (>= 3.1.2), tidyr (>=
1.1.0), waldo (>= 0.3.1)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
dynamicTreeCut,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.63-1,NA,"R (>= 2.3.0), stats",NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,4.3.3
e1071,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.7-16,NA,NA,"graphics, grDevices, class, stats, methods, utils, proxy",NA,"cluster, mlbench, nnet, randomForest, rpart, SparseM, xtable,
Matrix, MASS, slam",NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,4.3.3
edgeR,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,4.0.16,NA,"R (>= 3.6.0), limma (>= 3.41.5)","methods, graphics, stats, utils, locfit, Rcpp",Rcpp,"jsonlite, readr, rhdf5, splines, knitr, AnnotationDbi,
Biobase, BiocStyle, SummarizedExperiment, org.Hs.eg.db, Matrix,
SeuratObject",NA,GPL (>=2),NA,NA,NA,NA,yes,4.3.3
effectsize,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.0.0,NA,R (>= 3.6),"bayestestR (>= 0.15.0), insight (>= 1.0.0), parameters (>=
0.24.0), performance (>= 0.12.4), datawizard (>= 0.13.0),
stats, utils",NA,"correlation (>= 0.8.4), see (>= 0.8.0), afex, BayesFactor,
boot, brms, car, emmeans, gt, knitr, lavaan, lme4, lmerTest,
mgcv, parsnip, pwr, rmarkdown, rms, rstanarm, rstantools,
testthat (>= 3.1.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
ellipse,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.5.0,NA,"R (>= 2.0.0),graphics,stats",NA,NA,MASS,NA,GPL (>= 2),NA,NA,NA,NA,no,4.3.3
ellipsis,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.3.2,NA,R (>= 3.2),rlang (>= 0.3.0),NA,"covr, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.3.3
emmeans,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.11.0,NA,R (>= 4.1.0),"estimability (>= 1.4.1), graphics, methods, numDeriv, stats,
utils, mvtnorm",NA,"bayesplot, bayestestR, biglm, brms, car, coda (>= 0.17),
compositions, ggplot2, lattice, logspline, mediation, mgcv,
multcomp, multcompView, nlme, ordinal (>= 2014.11-12), pbkrtest
(>= 0.4-1), lme4, lmerTest (>= 2.0.32), MASS, MuMIn, rsm,
knitr, rmarkdown, sandwich, scales, splines, testthat, tibble,
xtable (>= 1.8-2)","CARBayes, coxme, gee, geepack, MCMCglmm, MCMCpack, mice,
nnet, pscl, rstanarm, sommer, survival",GPL-2 | GPL-3,NA,NA,NA,NA,no,4.3.3
EnhancedVolcano,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.20.0,NA,"ggplot2, ggrepel",methods,NA,"ggalt, ggrastr, RUnit, BiocGenerics, knitr, DESeq2, pasilla,
airway, org.Hs.eg.db, gridExtra, magrittr, rmarkdown",NA,GPL-3,NA,NA,NA,NA,no,4.3.3
EnrichmentBrowser,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.32.0,NA,"SummarizedExperiment, graph","AnnotationDbi, BiocFileCache, BiocManager, GSEABase, GO.db,
KEGGREST, KEGGgraph, Rgraphviz, S4Vectors, SPIA, edgeR,
graphite, hwriter, limma, methods, pathview, safe",NA,"ALL, BiocStyle, ComplexHeatmap, DESeq2, ReportingTools,
airway, biocGraph, hgu95av2.db, geneplotter, knitr, msigdbr,
rmarkdown, statmod",NA,Artistic-2.0,NA,NA,NA,NA,no,4.3.3
